ko00010	Glycolysis / Gluconeogenesis
ko00020	Citrate cycle (TCA cycle)
ko00030	Pentose phosphate pathway
ko00040	Pentose and glucuronate interconversions
ko00051	Fructose and mannose metabolism
ko00052	Galactose metabolism
ko00053	Ascorbate and aldarate metabolism
ko00061	Fatty acid biosynthesis
ko00062	Fatty acid elongation in mitochondria
ko00071	Fatty acid metabolism
ko00072	Synthesis and degradation of ketone bodies
ko00100	Steroid biosynthesis
ko00120	Primary bile acid biosynthesis
ko00121	Secondary bile acid biosynthesis
ko00130	Ubiquinone and other terpenoid-quinone biosynthesis
ko00140	Steroid hormone biosynthesis
ko00190	Oxidative phosphorylation
ko00195	Photosynthesis
ko00196	Photosynthesis - antenna proteins
ko00230	Purine metabolism
ko00231	Puromycin biosynthesis
ko00232	Caffeine metabolism
ko00240	Pyrimidine metabolism
ko00250	Alanine, aspartate and glutamate metabolism
ko00253	Tetracycline biosynthesis
ko00260	Glycine, serine and threonine metabolism
ko00270	Cysteine and methionine metabolism
ko00280	Valine, leucine and isoleucine degradation
ko00281	Geraniol degradation
ko00290	Valine, leucine and isoleucine biosynthesis
ko00300	Lysine biosynthesis
ko00310	Lysine degradation
ko00311	Penicillin and cephalosporin biosynthesis
ko00312	beta-Lactam resistance
ko00330	Arginine and proline metabolism
ko00331	Clavulanic acid biosynthesis
ko00340	Histidine metabolism
ko00350	Tyrosine metabolism
ko00351	DDT degradation
ko00360	Phenylalanine metabolism
ko00361	Chlorocyclohexane and chlorobenzene degradation
ko00362	Benzoate degradation
ko00363	Bisphenol degradation
ko00364	Fluorobenzoate degradation
ko00380	Tryptophan metabolism
ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis
ko00401	Novobiocin biosynthesis
ko00402	Benzoxazinoid biosynthesis
ko00410	beta-Alanine metabolism
ko00430	Taurine and hypotaurine metabolism
ko00440	Phosphonate and phosphinate metabolism
ko00450	Selenocompound metabolism
ko00460	Cyanoamino acid metabolism
ko00471	D-Glutamine and D-glutamate metabolism
ko00472	D-Arginine and D-ornithine metabolism
ko00473	D-Alanine metabolism
ko00480	Glutathione metabolism
ko00500	Starch and sucrose metabolism
ko00510	N-Glycan biosynthesis
ko00511	Other glycan degradation
ko00512	Mucin type O-Glycan biosynthesis
ko00513	Various types of N-glycan biosynthesis
ko00514	Other types of O-glycan biosynthesis
ko00520	Amino sugar and nucleotide sugar metabolism
ko00521	Streptomycin biosynthesis
ko00522	Biosynthesis of 12-, 14- and 16-membered macrolides
ko00523	Polyketide sugar unit biosynthesis
ko00524	Butirosin and neomycin biosynthesis
ko00531	Glycosaminoglycan degradation
ko00532	Glycosaminoglycan biosynthesis - chondroitin sulfate
ko00533	Glycosaminoglycan biosynthesis - keratan sulfate
ko00534	Glycosaminoglycan biosynthesis - heparan sulfate
ko00540	Lipopolysaccharide biosynthesis
ko00550	Peptidoglycan biosynthesis
ko00561	Glycerolipid metabolism
ko00562	Inositol phosphate metabolism
ko00563	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis
ko00564	Glycerophospholipid metabolism
ko00565	Ether lipid metabolism
ko00590	Arachidonic acid metabolism
ko00591	Linoleic acid metabolism
ko00592	alpha-Linolenic acid metabolism
ko00600	Sphingolipid metabolism
ko00601	Glycosphingolipid biosynthesis - lacto and neolacto series
ko00603	Glycosphingolipid biosynthesis - globo series
ko00604	Glycosphingolipid biosynthesis - ganglio series
ko00620	Pyruvate metabolism
ko00621	Dioxin degradation
ko00622	Xylene degradation
ko00623	Toluene degradation
ko00624	Polycyclic aromatic hydrocarbon degradation
ko00625	Chloroalkane and chloroalkene degradation
ko00626	Naphthalene degradation
ko00627	Aminobenzoate degradation
ko00630	Glyoxylate and dicarboxylate metabolism
ko00633	Nitrotoluene degradation
ko00640	Propanoate metabolism
ko00642	Ethylbenzene degradation
ko00643	Styrene degradation
ko00650	Butanoate metabolism
ko00660	C5-Branched dibasic acid metabolism
ko00670	One carbon pool by folate
ko00680	Methane metabolism
ko00710	Carbon fixation in photosynthetic organisms
ko00720	Carbon fixation pathways in prokaryotes
ko00730	Thiamine metabolism
ko00740	Riboflavin metabolism
ko00750	Vitamin B6 metabolism
ko00760	Nicotinate and nicotinamide metabolism
ko00770	Pantothenate and CoA biosynthesis
ko00780	Biotin metabolism
ko00785	Lipoic acid metabolism
ko00790	Folate biosynthesis
ko00791	Atrazine degradation
ko00830	Retinol metabolism
ko00860	Porphyrin and chlorophyll metabolism
ko00900	Terpenoid backbone biosynthesis
ko00901	Indole alkaloid biosynthesis
ko00902	Monoterpenoid biosynthesis
ko00903	Limonene and pinene degradation
ko00904	Diterpenoid biosynthesis
ko00905	Brassinosteroid biosynthesis
ko00906	Carotenoid biosynthesis
ko00908	Zeatin biosynthesis
ko00909	Sesquiterpenoid biosynthesis
ko00910	Nitrogen metabolism
ko00920	Sulfur metabolism
ko00930	Caprolactam degradation
ko00940	Phenylpropanoid biosynthesis
ko00941	Flavonoid biosynthesis
ko00942	Anthocyanin biosynthesis
ko00943	Isoflavonoid biosynthesis
ko00944	Flavone and flavonol biosynthesis
ko00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis
ko00950	Isoquinoline alkaloid biosynthesis
ko00960	Tropane, piperidine and pyridine alkaloid biosynthesis
ko00965	Betalain biosynthesis
ko00966	Glucosinolate biosynthesis
ko00970	Aminoacyl-tRNA biosynthesis
ko00980	Metabolism of xenobiotics by cytochrome P450
ko00981	Insect hormone biosynthesis
ko00982	Drug metabolism - cytochrome P450
ko00983	Drug metabolism - other enzymes
ko01010	Overview of biosynthetic pathways
ko01040	Biosynthesis of unsaturated fatty acids
ko01051	Biosynthesis of ansamycins
ko01052	Type I polyketide structures
ko01053	Biosynthesis of siderophore group nonribosomal peptides
ko01054	Nonribosomal peptide structures
ko01055	Biosynthesis of vancomycin group antibiotics
ko01056	Biosynthesis of type II polyketide backbone
ko01057	Biosynthesis of type II polyketide products
ko01058	Acridone alkaloid biosynthesis
ko01060	Biosynthesis of plant secondary metabolites
ko01061	Biosynthesis of phenylpropanoids
ko01062	Biosynthesis of terpenoids and steroids
ko01063	Biosynthesis of alkaloids derived from shikimate pathway
ko01064	Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid
ko01065	Biosynthesis of alkaloids derived from histidine and purine
ko01066	Biosynthesis of alkaloids derived from terpenoid and polyketide
ko01070	Biosynthesis of plant hormones
ko01100	Metabolic pathways
ko01110	Biosynthesis of secondary metabolites
ko01120	Microbial metabolism in diverse environments
ko02010	ABC transporters
ko02020	Two-component system
ko02030	Bacterial chemotaxis
ko02040	Flagellar assembly
ko02060	Phosphotransferase system (PTS)
ko03008	Ribosome biogenesis in eukaryotes
ko03010	Ribosome
ko03013	RNA transport
ko03015	mRNA surveillance pathway
ko03018	RNA degradation
ko03020	RNA polymerase
ko03022	Basal transcription factors
ko03030	DNA replication
ko03040	Spliceosome
ko03050	Proteasome
ko03060	Protein export
ko03070	Bacterial secretion system
ko03320	PPAR signaling pathway
ko03410	Base excision repair
ko03420	Nucleotide excision repair
ko03430	Mismatch repair
ko03440	Homologous recombination
ko03450	Non-homologous end-joining
ko04010	MAPK signaling pathway
ko04011	MAPK signaling pathway - yeast
ko04012	ErbB signaling pathway
ko04013	MAPK signaling pathway - fly
ko04020	Calcium signaling pathway
ko04060	Cytokine-cytokine receptor interaction
ko04062	Chemokine signaling pathway
ko04070	Phosphatidylinositol signaling system
ko04075	Plant hormone signal transduction
ko04080	Neuroactive ligand-receptor interaction
ko04110	Cell cycle
ko04111	Cell cycle - yeast
ko04112	Cell cycle - Caulobacter
ko04113	Meiosis - yeast
ko04114	Oocyte meiosis
ko04115	p53 signaling pathway
ko04120	Ubiquitin mediated proteolysis
ko04122	Sulfur relay system
ko04130	SNARE interactions in vesicular transport
ko04140	Regulation of autophagy
ko04141	Protein processing in endoplasmic reticulum
ko04142	Lysosome
ko04144	Endocytosis
ko04145	Phagosome
ko04146	Peroxisome
ko04150	mTOR signaling pathway
ko04210	Apoptosis
ko04260	Cardiac muscle contraction
ko04270	Vascular smooth muscle contraction
ko04310	Wnt signaling pathway
ko04320	Dorso-ventral axis formation
ko04330	Notch signaling pathway
ko04340	Hedgehog signaling pathway
ko04350	TGF-beta signaling pathway
ko04360	Axon guidance
ko04370	VEGF signaling pathway
ko04380	Osteoclast differentiation
ko04510	Focal adhesion
ko04512	ECM-receptor interaction
ko04514	Cell adhesion molecules (CAMs)
ko04520	Adherens junction
ko04530	Tight junction
ko04540	Gap junction
ko04610	Complement and coagulation cascades
ko04612	Antigen processing and presentation
ko04614	Renin-angiotensin system
ko04620	Toll-like receptor signaling pathway
ko04621	NOD-like receptor signaling pathway
ko04622	RIG-I-like receptor signaling pathway
ko04623	Cytosolic DNA-sensing pathway
ko04626	Plant-pathogen interaction
ko04630	Jak-STAT signaling pathway
ko04640	Hematopoietic cell lineage
ko04650	Natural killer cell mediated cytotoxicity
ko04660	T cell receptor signaling pathway
ko04662	B cell receptor signaling pathway
ko04664	Fc epsilon RI signaling pathway
ko04666	Fc gamma R-mediated phagocytosis
ko04670	Leukocyte transendothelial migration
ko04672	Intestinal immune network for IgA production
ko04710	Circadian rhythm - mammal
ko04711	Circadian rhythm - fly
ko04712	Circadian rhythm - plant
ko04720	Long-term potentiation
ko04722	Neurotrophin signaling pathway
ko04724	Glutamatergic synapse
ko04725	Cholinergic synapse
ko04730	Long-term depression
ko04740	Olfactory transduction
ko04742	Taste transduction
ko04744	Phototransduction
ko04745	Phototransduction - fly
ko04810	Regulation of actin cytoskeleton
ko04910	Insulin signaling pathway
ko04912	GnRH signaling pathway
ko04914	Progesterone-mediated oocyte maturation
ko04916	Melanogenesis
ko04920	Adipocytokine signaling pathway
ko04930	Type II diabetes mellitus
ko04940	Type I diabetes mellitus
ko04950	Maturity onset diabetes of the young
ko04960	Aldosterone-regulated sodium reabsorption
ko04961	Endocrine and other factor-regulated calcium reabsorption
ko04962	Vasopressin-regulated water reabsorption
ko04964	Proximal tubule bicarbonate reclamation
ko04966	Collecting duct acid secretion
ko04970	Salivary secretion
ko04971	Gastric acid secretion
ko04972	Pancreatic secretion
ko04973	Carbohydrate digestion and absorption
ko04974	Protein digestion and absorption
ko04975	Fat digestion and absorption
ko04976	Bile secretion
ko04977	Vitamin digestion and absorption
ko04978	Mineral absorption
ko05010	Alzheimer's disease
ko05012	Parkinson's disease
ko05014	Amyotrophic lateral sclerosis (ALS)
ko05016	Huntington's disease
ko05020	Prion diseases
ko05100	Bacterial invasion of epithelial cells
ko05110	Vibrio cholerae infection
ko05111	Vibrio cholerae pathogenic cycle
ko05120	Epithelial cell signaling in Helicobacter pylori infection
ko05130	Pathogenic Escherichia coli infection
ko05131	Shigellosis
ko05140	Leishmaniasis
ko05142	Chagas disease (American trypanosomiasis)
ko05143	African trypanosomiasis
ko05144	Malaria
ko05145	Toxoplasmosis
ko05146	Amoebiasis
ko05150	Staphylococcus aureus infection
ko05152	Tuberculosis
ko05160	Hepatitis C
ko05162	Measles
ko05164	Influenza A
ko05200	Pathways in cancer
ko05210	Colorectal cancer
ko05211	Renal cell carcinoma
ko05212	Pancreatic cancer
ko05213	Endometrial cancer
ko05214	Glioma
ko05215	Prostate cancer
ko05216	Thyroid cancer
ko05217	Basal cell carcinoma
ko05218	Melanoma
ko05219	Bladder cancer
ko05220	Chronic myeloid leukemia
ko05221	Acute myeloid leukemia
ko05222	Small cell lung cancer
ko05223	Non-small cell lung cancer
ko05310	Asthma
ko05320	Autoimmune thyroid disease
ko05322	Systemic lupus erythematosus
ko05323	Rheumatoid arthritis
ko05330	Allograft rejection
ko05332	Graft-versus-host disease
ko05340	Primary immunodeficiency
ko05410	Hypertrophic cardiomyopathy (HCM)
ko05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)
ko05414	Dilated cardiomyopathy
ko05416	Viral myocarditis
ko07011	Penicillins
ko07012	Cephalosporins - parenteral agents
ko07013	Cephalosporins - oral agents
ko07014	Quinolones
ko07015	Local analgesics
ko07016	Sulfonamide derivatives - sulfa drugs
ko07017	Sulfonamide derivatives - diuretics
ko07018	Sulfonamide derivatives - hypoglycemic agents
ko07019	Tetracyclines
ko07020	Macrolides and ketolides
ko07021	Aminoglycosides
ko07023	Rifamycins
ko07024	Statins
ko07025	Quinolines
ko07026	Azoles
ko07027	Antidepressants
ko07028	Antipsychotics
ko07029	Phenothiazines
ko07030	Anxiolytics
ko07031	Butyrophenones
ko07032	Hypnotics
ko07033	Anticonvulsants
ko07034	Eicosanoids
ko07035	Prostaglandins
ko07036	Calcium channel blocking drugs
ko07037	Antiarrhythmic drugs
ko07038	Antacids
ko07039	Opioid analgesics
ko07040	Antineoplastics - alkylating agents
ko07041	Antineoplastics - antimetabolic agents
ko07042	Antineoplastics - agents from natural products
ko07043	Antineoplastics - hormones
ko07044	Antivirals
ko07045	Antineoplastics - protein kinases inhibitors
ko07046	Immunosuppressive agents
ko07047	Osteoporosis drugs
ko07048	Antimigraines
ko07110	Benzoic acid family
ko07111	2-Aminothiazole family
ko07112	1,2-Diphenyl substitution family
ko07113	Furan family
ko07114	Naphthalene family
ko07115	Sulfonamide family
ko07116	Butyrophenone family
ko07117	Benzodiazepine family
ko07211	Serotonin receptor agonists/antagonists
ko07212	Histamine H1 receptor antagonists
ko07213	Dopamine receptor agonists/antagonists
ko07214	beta-Adrenergic receptor agonists/antagonists
ko07215	alpha-Adrenergic receptor agonists/antagonists
ko07216	Catecholamine transferase inhibitors
ko07217	Renin-angiotensin system inhibitors
ko07218	HIV protease inhibitors
ko07219	Cyclooxygenase inhibitors
ko07220	Cholinergic and anticholinergic drugs
ko07221	Nicotinic cholinergic receptor antagonists
ko07222	Peroxisome proliferator-activated receptor (PPAR) agonists
ko07223	Retinoic acid receptor (RAR) and retinoid X receptor (RXR) agonists/antagonists
ko07224	Opioid receptor agonists/antagonists
ko07225	Glucocorticoid and meneralocorticoid receptor agonists/antagonists
ko07226	Progesterone, androgen and estrogen receptor agonists/antagonists
ko07227	Histamine H2/H3 receptor agonists/antagonists
ko07228	Eicosanoid receptor agonists/antagonists
ko07229	Angiotensin receptor and endothelin receptor antagonists
ko07230	GABA-A receptor agonists/antagonists
ko07231	Sodium channel blocking drugs
ko07232	Potassium channel blocking and opening drugs
